                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1954,                 4.4506,                 4.2042,                      0,                      0,                      0,                      0,                 3.1787,                 4.3763,                 4.1577,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0366,                 4.4063,                 4.1722,                      0,                      0,                      0,                      0,                 3.1708,                 4.3693,                  4.152,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.0873,                 4.2804,                 4.0816,                      0,                      0,                      0,                      0,                 3.1466,                 4.3474,                 4.1334,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.7922,                 4.0102,                 3.9185,                      0,                      0,                      0,                      0,                 3.0907,                 4.3138,                 4.0952,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3499,                 3.7603,                 3.6969,                      0,                      0,                      0,                      0,                 3.0406,                 4.2857,                 4.0524,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.9715,                 3.4048,                  3.348,                      0,                      0,                      0,                      0,                 2.9517,                 4.2228,                 3.9714,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.7198,                 3.0844,                 3.1095,                      0,                      0,                      0,                      0,                 2.7668,                 4.1178,                 3.8463,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.5334,                  2.755,                 2.7852,                0.00176,                0.22284,                0.00127,                0.00038,                 2.6776,                 3.8139,                 3.6716,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2614,                 2.5095,                 2.5624,                0.00277,                  0.403,                0.00339,                0.00074,                 2.7046,                 3.8165,                 3.6751,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.1281,                 2.3614,                 2.3935,                0.00246,                0.40941,                0.00581,                0.00103,                 3.1956,                 4.1811,                  3.955,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.9759,                 2.1894,                 2.2423,                0.26656,                0.22683,                0.02095,                0.00371,                 3.4897,                 3.8036,                 3.7115,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.9113,                 2.0481,                 2.1196,                0.27969,                0.09797,                 0.0478,                0.01158,                 2.6615,                 3.7687,                 3.4457,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7614,                 1.9254,                 2.0135,                0.30374,                 0.1063,                0.04789,                0.01122,                 3.2325,                 3.5981,                 3.5388,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6687,                 1.7955,                 1.9397,                0.00709,                0.63069,                0.06559,                0.01645,                 3.1757,                 3.5964,                  3.416,             0.00068337,             0.00068337,             0.00068337
                     15,                  1.593,                 1.6893,                 1.8582,                0.00845,                0.61221,                0.07897,                0.02847,                 2.9796,                 3.7558,                  3.427,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5442,                 1.6468,                 1.8088,                0.45025,                0.29359,                 0.2053,                0.07569,                 2.5991,                 2.7688,                  2.682,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5161,                 1.5788,                 1.7729,                0.58665,                0.09423,                0.17977,                0.08731,                 2.2471,                 3.1774,                 2.6119,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.4565,                 1.5035,                 1.7388,                0.56065,                0.09698,                0.23517,                0.10435,                 2.1954,                 3.0208,                 2.5593,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.4457,                 1.4334,                 1.6851,                0.55038,                0.13503,                0.28704,                0.13717,                 2.1124,                  2.822,                 2.4741,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4205,                 1.3974,                 1.6601,                0.46004,                  0.423,                0.40561,                0.21896,                  1.646,                 2.2122,                 2.0846,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.3983,                 1.4101,                 1.6424,                0.49595,                0.52339,                0.50124,                0.30056,                  1.394,                 1.9203,                 1.8989,             0.00066688,             0.00066688,             0.00066688
