                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1171,                 9.6646,                 4.0947,                      0,                      0,                      0,                      0,                 1.7552,                 25.547,                  3.603,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.0556,                   7.83,                 3.4632,                      0,                      0,                      0,                      0,                 1.6708,                 25.303,                 3.4951,             0.00046257,             0.00046257,             0.00046257
                      3,                 1.5784,                 6.3848,                 2.7719,                0.00167,                0.25124,                0.00127,                0.00047,                 1.3699,                  15.85,                 3.2483,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.2469,                 5.2313,                 2.2857,                0.11816,                0.21636,                0.07567,                0.03183,                 1.1298,                 173.67,                 2.5956,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.0891,                 4.3931,                 2.0972,                0.32205,                 0.3603,                0.26357,                0.11875,                 1.0468,                 86.725,                 2.2505,             0.00070458,             0.00070458,             0.00070458
                      6,                0.98656,                 3.8177,                 1.9504,                0.43611,                0.33025,                0.32804,                0.15699,                 1.1315,                 19.372,                 2.3512,             0.00070222,             0.00070222,             0.00070222
                      7,                0.92487,                 3.5679,                 1.8789,                 0.5106,                0.59039,                 0.5587,                0.31887,                0.74279,                 28.276,                  1.827,             0.00069986,             0.00069986,             0.00069986
                      8,                0.87909,                 3.3095,                 1.8087,                0.50217,                0.58142,                0.55031,                0.24766,                 0.9685,                 82.943,                 2.0934,             0.00069751,             0.00069751,             0.00069751
                      9,                0.84834,                 3.1037,                 1.7507,                0.45257,                0.49197,                0.44851,                0.27202,                0.69688,                  46.22,                 1.7228,             0.00069515,             0.00069515,             0.00069515
                     10,                0.83716,                  3.036,                 1.7303,                 0.7055,                0.67142,                0.71893,                0.43431,                0.65524,                 19.868,                 1.6765,             0.00069279,             0.00069279,             0.00069279
                     11,                0.82332,                 2.9247,                 1.7129,                0.57527,                 0.4717,                0.49893,                0.29787,                0.69382,                 7.6112,                 1.7669,             0.00069044,             0.00069044,             0.00069044
                     12,                 0.8032,                   2.91,                 1.6635,                0.71796,                 0.6981,                0.74379,                0.42277,                 0.7191,                 34.934,                 1.7457,             0.00068808,             0.00068808,             0.00068808
                     13,                0.80227,                 2.8382,                  1.686,                0.73623,                0.76153,                0.80663,                0.51679,                0.61798,                  13.54,                 1.5929,             0.00068573,             0.00068573,             0.00068573
                     14,                0.78175,                 2.7167,                 1.6437,                0.75743,                0.76598,                0.82712,                0.51717,                0.61747,                 29.646,                 1.5766,             0.00068337,             0.00068337,             0.00068337
                     15,                  0.755,                 2.5724,                 1.6073,                0.72618,                0.74849,                   0.79,                0.49175,                0.62871,                 66.009,                 1.5923,             0.00068101,             0.00068101,             0.00068101
                     16,                0.75903,                 2.6181,                 1.6237,                0.78097,                0.77262,                0.83881,                0.54521,                0.57643,                 13.267,                 1.5323,             0.00067866,             0.00067866,             0.00067866
                     17,                0.74226,                  2.561,                 1.5977,                0.72696,                0.78426,                0.84158,                0.55498,                0.57183,                 20.282,                 1.5147,              0.0006763,              0.0006763,              0.0006763
                     18,                0.73285,                 2.5219,                  1.598,                0.74038,                0.79127,                  0.826,                0.53057,                0.60213,                 65.815,                 1.5535,             0.00067394,             0.00067394,             0.00067394
                     19,                0.74788,                 2.4317,                 1.5827,                0.73201,                0.78667,                0.79646,                 0.5224,                0.58255,                  91.59,                 1.5141,             0.00067159,             0.00067159,             0.00067159
                     20,                0.70067,                 2.3194,                 1.5344,                0.73222,                0.77371,                0.81424,                0.54112,                0.57306,                 116.91,                 1.5055,             0.00066923,             0.00066923,             0.00066923
